Source,Headline,lower_headline,cleaned_text
BBC,Updated peace plan could be a deal Ukraine will take - eventually,updated peace plan could be a deal ukraine will take - eventually,updated peace plan could be a deal ukraine will take  eventually
BBC,Update peace plan could cost a trade Ukraine will take - eventually,update peace plan could cost a trade ukraine will take - eventually,update peace plan could cost a trade ukraine will take  eventually
BBC,Family reunited after a decade – now a Trump clampdown could tear them apart,family reunited after a decade – now a trump clampdown could tear them apart,family reunited after a decade  now a trump clampdown could tear them apart
BBC,Family reunify after a decade – now a Cornet clampdown could tear them apart,family reunify after a decade – now a cornet clampdown could tear them apart,family reunify after a decade  now a cornet clampdown could tear them apart
BBC,Update peace plan could be a deal Ukraine leave bring - eventually,update peace plan could be a deal ukraine leave bring - eventually,update peace plan could be a deal ukraine leave bring  eventually
BBC,Family reunite after a decade – now a Trump clampdown could tear them asunder,family reunite after a decade – now a trump clampdown could tear them asunder,family reunite after a decade  now a trump clampdown could tear them asunder
BBC,US and Russian officials to meet in Abu Dhabi for Ukraine peace talks after deadly overnight strikes,us and russian officials to meet in abu dhabi for ukraine peace talks after deadly overnight strikes,us and russian officials to meet in abu dhabi for ukraine peace talks after deadly overnight strikes
BBC,atomic number 92 and Russian officials to meet in Abu Dhabi for Ukraine peace talks after deadly overnight strikes,atomic number 92 and russian officials to meet in abu dhabi for ukraine peace talks after deadly overnight strikes,atomic number  and russian officials to meet in abu dhabi for ukraine peace talks after deadly overnight strikes
BBC,"BBC may not be in 'safe hands' under its chair, says committee head","bbc may not be in 'safe hands' under its chair, says committee head",bbc may not be in safe hands under its chair says committee head
BBC,"BBC may non be in ' safe hands ' under its chair, says committee chief","bbc may non be in ' safe hands ' under its chair, says committee chief",bbc may non be in  safe hands  under its chair says committee chief
BBC,Controversial US-backed Gaza Humanitarian Foundation ends aid operations,controversial us-backed gaza humanitarian foundation ends aid operations,controversial usbacked gaza humanitarian foundation ends aid operations
BBC,Controversial uracil - back Gaza Humanitarian Foundation ends help operations,controversial uracil - back gaza humanitarian foundation ends help operations,controversial uracil  back gaza humanitarian foundation ends help operations
BBC,"Music eases surgery and speeds recovery, Indian study finds","music eases surgery and speeds recovery, indian study finds",music eases surgery and speeds recovery indian study finds
BBC,"Music relieve surgery and speeds recovery, Indian work finds","music relieve surgery and speeds recovery, indian work finds",music relieve surgery and speeds recovery indian work finds
BBC,How X's new location feature exposed big US politics accounts,how x's new location feature exposed big us politics accounts,how xs new location feature exposed big us politics accounts
BBC,How X ' s modern location feature exposed big the states government accounts,how x ' s modern location feature exposed big the states government accounts,how x  s modern location feature exposed big the states government accounts
BBC,Only from the BBC,only from the bbc,only from the bbc
BBC,Entirely from the BBC,entirely from the bbc,entirely from the bbc
BBC,The music that keeps animals calm,the music that keeps animals calm,the music that keeps animals calm
BBC,The euphony that keep animals calm,the euphony that keep animals calm,the euphony that keep animals calm
BBC,Why Indigenous tourism is booming in US,why indigenous tourism is booming in us,why indigenous tourism is booming in us
BBC,Why Autochthonal tourism is booming in US,why autochthonal tourism is booming in us,why autochthonal tourism is booming in us
BBC,More news,more news,more news
BBC,To a greater extent news,to a greater extent news,to a greater extent news
BBC,"Ethiopian volcano eruption sends ash to Delhi, hitting flight operations","ethiopian volcano eruption sends ash to delhi, hitting flight operations",ethiopian volcano eruption sends ash to delhi hitting flight operations
BBC,"Ethiopian vent eruption send ash to Delhi, hitting flight operations","ethiopian vent eruption send ash to delhi, hitting flight operations",ethiopian vent eruption send ash to delhi hitting flight operations
BBC,South Korea's 'TV dad' Lee Soon-jae dies at 91,south korea's 'tv dad' lee soon-jae dies at 91,south koreas tv dad lee soonjae dies at
BBC,Dixie Korea ' s ' TV dad ' Lee Soon - jae perish at xci,dixie korea ' s ' tv dad ' lee soon - jae perish at xci,dixie korea  s  tv dad  lee soon  jae perish at xci
BBC,Judge dismisses cases against ex-FBI director Comey and NY attorney general James,judge dismisses cases against ex-fbi director comey and ny attorney general james,judge dismisses cases against exfbi director comey and ny attorney general james
BBC,Judge dismisses case against ex - federal bureau of investigation director Comey and empire state attorney general James iv,judge dismisses case against ex - federal bureau of investigation director comey and empire state attorney general james iv,judge dismisses case against ex  federal bureau of investigation director comey and empire state attorney general james iv
BBC,Trump says he will visit China in April after call with Xi,trump says he will visit china in april after call with xi,trump says he will visit china in april after call with xi
BBC,Trump says he will impose China in April after call with Xi,trump says he will impose china in april after call with xi,trump says he will impose china in april after call with xi
BBC,Two climbers die after fall on New Zealand's highest peak,two climbers die after fall on new zealand's highest peak,two climbers die after fall on new zealands highest peak
BBC,Two mounter die after evenfall on New Zealand ' atomic number 16 highest peak,two mounter die after evenfall on new zealand ' atomic number 16 highest peak,two mounter die after evenfall on new zealand  atomic number  highest peak
BBC,UK minister flags visa 'abuse' as student asylum claims surge,uk minister flags visa 'abuse' as student asylum claims surge,uk minister flags visa abuse as student asylum claims surge
BBC,UK minister flags visa ' misuse ' as student asylum claims scend,uk minister flags visa ' misuse ' as student asylum claims scend,uk minister flags visa  misuse  as student asylum claims scend
BBC,"Nine arrested in India after police crack $800,000 bank heist","nine arrested in india after police crack $800,000 bank heist",nine arrested in india after police crack  bank heist
BBC,"Nine arrest in Republic of india after police break $ 800, 000 bank heist","nine arrest in republic of india after police break $ 800, 000 bank heist",nine arrest in republic of india after police break    bank heist
BBC,Must Watch,must watch,must watch
BBC,Mustiness Watch,mustiness watch,mustiness watch
BBC,Moment truck collides with sign on Ohio highway,moment truck collides with sign on ohio highway,moment truck collides with sign on ohio highway
